

2024-08-23 21:03:22.827718
21:03:222024-08-23 21:03:24,255 - __main__ - DEBUG - [envy.py:57] - choosing role
2024-08-23 21:05:17,471 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   247MB         | Arnold 7.3.1.1 [25d993ed] windows x86_64 clang-15.0.7 oiio-2.4.1 osl-1.13.0 vdb-7.1.1 adlsdk-8.0.7.50 clmhub-3.1.1.43 rlm-14.2.5 optix-8.0.0 2024/04/22 19:04:10
2024-08-23 21:05:17,471 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   247MB         | running on LAB5-05, pid=35444
2024-08-23 21:05:17,472 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   247MB         |  1 x AMD Ryzen Threadripper PRO 3945WX 12-Cores  (12 cores, 24 logical) with 130925MB
2024-08-23 21:05:17,472 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   247MB         |  NVIDIA driver version 555.85
2024-08-23 21:05:17,472 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   247MB         |  GPU 0: NVIDIA GeForce RTX 3080 @ 1710MHz (compute 8.6) with 10239MB (9744MB available) (NVLink:0)
2024-08-23 21:05:17,473 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   247MB         |  Windows 10 (version 10.0, build 19045)
2024-08-23 21:05:17,473 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   247MB         |  soft limit for open files changed from 8192 to 2048
2024-08-23 21:05:17,473 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   247MB         |
2024-08-23 21:05:17,492 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   261MB         | loading plugins from C:\solidangle\htoa\htoa-6.3.1.1_r6f505f8_houdini-20.0.653\htoa-6.3.1.1_r6f505f8_houdini-20.0.653\scripts\bin\..\plugins ...
2024-08-23 21:05:17,510 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   262MB         |  alembic_proc.dll: alembic uses Arnold 7.3.1.1
2024-08-23 21:05:17,525 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   262MB         |  cryptomatte.dll: cryptomatte uses Arnold 7.3.1.1
2024-08-23 21:05:17,525 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   262MB         |  cryptomatte.dll: cryptomatte_filter uses Arnold 7.3.1.1
2024-08-23 21:05:17,526 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   262MB         |  cryptomatte.dll: cryptomatte_manifest_driver uses Arnold 7.3.1.1
2024-08-23 21:05:17,539 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   262MB         |  htoa_mandelbulb_proc.dll: mandelbulb uses Arnold 7.3.1.1
2024-08-23 21:05:17,876 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   279MB         |  usd_proc.dll: usd uses Arnold 7.3.1.1
2024-08-23 21:05:17,884 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   280MB         | loaded 6 plugins from 4 lib(s) in 0:00.39
2024-08-23 21:05:17,886 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   286MB         | [htoa_op] Begin registration ...
2024-08-23 21:05:17,889 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   293MB         | [obj_procedurals] Registering procedurals ...
2024-08-23 21:05:17,890 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   288MB         | [obj_procedurals] procedural registration done.
